so_NAME	so_SHORTNAME	so_PID	so_productWave	so_colorWave	so_allTWave	so_ratioWave	so_keyW
Cytoskeleton-associated protein 4	CKAP4	Q07065	10.05449704656698	3	2.9293392e-07	11.48171895125378	1167
Endoplasmic reticulum resident protein 29	ERP29	P30040	10.03698544850555	3	2.3843151e-07	10.66157837649008	652
Ras-related protein Rap-1b;Ras-related protein Rap-1A;Ras-related protein Rap-1b-like protein	RAP1B;RAP1A	P61224;P62834;A6NIZ1	10.02360776811778	3	9.0651065e-07	15.79045579458541	980
Myoferlin	MYOF	Q9NZM1;O75923	9.819285804707068	3	6.3118466e-07	12.29025034758293	2213
Cadherin-2	CDH2	P19022	9.768729749218975	3	8.356605e-07	12.91306636105368	551
Catenin beta-1	CTNNB1	P35222	9.754429642648565	3	1.6687147e-06	15.74488932469527	707
Actin, alpha cardiac muscle 1;Actin, alpha skeletal muscle;Actin, gamma-enteric smooth muscle;Actin, aortic smooth muscle	ACTC1;ACTA1;ACTG2;ACTA2	P68032;P68133;P63267;P62736	9.748837907911257	3	0.00088316941	103.6001208788397	2740
Galectin-1	LGALS1	P09382	9.587480538399628	3	1.8425985e-06	14.44913743042567	415
Tumor protein D52	TPD52	P55327	9.537750222099566	3	6.5134977e-06	20.41509513268194	938
Glypican-1;Secreted glypican-1	GPC1	P35052	9.495516820034108	3	1.2027225e-06	11.92305641983517	705
Sodium/potassium-transporting ATPase subunit beta-1	ATP1B1	P05026	9.423483578698887	3	4.4314752e-06	16.79583772976085	349
Pyruvate kinase PKM	PKM	P14618;P30613	9.394476120660052	3	4.107903e-08	4.022511099585036	493
Thioredoxin domain-containing protein 5	TXNDC5	Q8NBS9	9.375327814787012	3	2.2957458e-06	13.32673609127037	1678
Elongation factor Tu, mitochondrial	TUFM	P49411	9.302564610075649	3	9.5553469e-07	9.73250481929762	841
Secretory carrier-associated membrane protein 3	SCAMP3	O14828	9.289997401560516	3	1.5714912e-06	11.20685335734069	71
Plastin-3	PLS3	P13797;Q14651;P13796	9.286469728496911	3	1.1531149e-06	10.1847750492902	483
Long-chain-fatty-acid--CoA ligase 3	ACSL3	O95573	9.180074994834429	3	1.9139031e-06	11.01956180615445	292
Integrin alpha-11	ITGA11	Q9UKX5	9.164472365582448	3	4.2463353e-06	13.85645643203459	2293
Tubulin beta-4B chain	TUBB4B	P68371	9.124479177277415	3	1.9620876e-08	2.670662348531248	1075
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	RPN1	P04843	8.978018013809082	3	6.0645666e-06	13.55560627948536	343
Peroxisomal multifunctional enzyme type 2;(3R)-hydroxyacyl-CoA dehydrogenase;Enoyl-CoA hydratase 2	HSD17B4	P51659	8.96324144980553	3	2.1276687e-06	9.7888926994962	884
HLA class I histocompatibility antigen, B-7 alpha chain	HLA-B	P01889	8.941468694505344	3	1.1809072e-05	16.15248523996205	320
Stress-70 protein, mitochondrial	HSPA9	P38646	8.916152822453988	3	1.9591762e-05	18.48427494532918	745
Desmoglein-2	DSG2	Q14126	8.84010125547273	3	1.2292238e-05	15.2393803368944	1290
ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed;ADP/ATP translocase 1	SLC25A5	P05141;P12235;Q9H0C2	8.837594419658302	3	4.0081295e-06	10.85686698226459	2645
Serine hydroxymethyltransferase, mitochondrial	SHMT2	P34897	8.77891733464809	3	1.397624e-06	7.591094151453612	702
Sodium/potassium-transporting ATPase subunit beta-3	ATP1B3	P54709	8.757760670147109	3	1.0441013e-05	13.70379178655817	923
Transgelin-2	TAGLN2	P37802;Q9UI15	8.738852634566532	3	4.7583444e-06	10.67606831135967	740
Tumor protein D54	TPD52L2	O43399	8.607277936602163	3	1.7860273e-05	14.51191707305278	131
Malate dehydrogenase, mitochondrial	MDH2	P40926	8.601054384803202	3	1.5357586e-05	13.80747443113339	761
Glucosidase 2 subunit beta	PRKCSH	P14314	8.533097374261958	3	1.1087896e-05	11.94178645152941	490
Erythrocyte band 7 integral membrane protein	STOM	P27105	8.507922873602007	3	7.9622032e-06	10.6217993388407	625
Extended synaptotagmin-1	ESYT1	Q9BSJ8	8.494500512151429	3	4.4259368e-06	8.818331217806357	1972
Integrin alpha-3;Integrin alpha-3 heavy chain;Integrin alpha-3 light chain	ITGA3	P26006	8.470323894347967	3	9.0135163e-06	10.74220281555862	613
Heat shock protein beta-1	HSPB1	P04792	8.449064287745724	3	7.951418e-08	2.548253484906452	341
Heat shock protein HSP 90-beta	HSP90AB1	P08238;Q58FF7	8.373837489820442	3	3.4408711e-07	3.759408766528345	393
Alpha-actinin-4	ACTN4	O43707;Q08043;P35609;Q9H254	8.372027848170291	3	3.546775e-05	15.15646731503213	144
Alpha-enolase	ENO1	P06733;P09104	8.280562325995636	3	2.7790491e-05	13.21824393071841	365
Fascin	FSCN1	Q16658	8.277214777610602	3	7.5121079e-06	8.894889994405933	1427
Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial	OXCT1	P55809;Q9BYC2	8.271558981925541	3	8.2681181e-06	9.11956835607802	941
Heat shock protein HSP 90-alpha	HSP90AA1	P07900;Q14568;Q58FG0;Q58FG1;Q58FF6	8.242695548175867	3	2.0818647e-06	5.901770852289703	384
Polymerase I and transcript release factor	PTRF	Q6NZI2	8.229326486716007	3	1.2474341e-06	5.011852121247959	1520
Voltage-dependent anion-selective channel protein 2	VDAC2	P45880	8.207319444580987	3	4.7019585e-06	7.359451905248364	795
Guanine nucleotide-binding protein G(k) subunit alpha	GNAI3	P08754	8.179274982869993	3	5.5454082e-05	15.17062544838139	406
Synaptosomal-associated protein 23	SNAP23	O00161	8.061863016596954	3	4.7023159e-06	6.653782922043383	24
EGF-like repeat and discoidin I-like domain-containing protein 3	EDIL3	O43854	7.975685405118735	3	2.0214819e-05	9.722687753827246	153
Peroxiredoxin-1	PRDX1	Q06830	7.970766233029188	3	1.0558917e-06	3.98446329750531	1164
MARCKS-related protein	MARCKSL1	P49006	7.943115563350325	3	4.6115324e-06	6.092188687007035	832
Epoxide hydrolase 1	EPHX1	P07099	7.902442764473843	3	1.8050454e-05	8.931677051822275	372
Stomatin-like protein 2, mitochondrial	STOML2	Q9UJZ1	7.887023668774663	3	9.139123e-06	7.19965745154175	2281
Spectrin beta chain, non-erythrocytic 1	SPTBN1	Q01082	7.832412572796876	3	1.4834461e-05	8.020456616518663	1117
Talin-1	TLN1	Q9Y490	7.765704556909906	3	7.2675037e-05	12.35557205003778	2389
Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Polyubiquitin-C;Ubiquitin;Polyubiquitin-B;Ubiquitin;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40	RPS27A;UBC;UBB;UBA52	P62979;P0CG48;P0CG47;P62987	7.753830305674882	3	1.2691391e-05	7.24677816450919	1052
Leucine-rich repeat-containing protein 59	LRRC59	Q96AG4	7.705444282392792	3	1.5359614e-05	7.422085748168479	1827
Membrane-associated progesterone receptor component 2	PGRMC2	O15173	7.684429631941406	3	4.9904661e-06	5.214651104737175	95
Protein disulfide-isomerase A4	PDIA4	P13667	7.672708528326066	3	1.5245355e-05	7.239278632257999	481
Transmembrane protein 43	TMEM43	Q9BTV4	7.625576164517467	3	8.7525032e-06	5.928670581246371	1981
Bone marrow stromal antigen 2	BST2	Q10589	7.623886603418322	3	1.6190974e-05	7.126330853521757	1192
Ras-related protein Rab-11A;Ras-related protein Rab-11B	RAB11A;RAB11B	P62491;Q15907	7.621923205915953	3	1.5304093e-05	6.996973284912026	1026
Parathyroid hormone-related protein;PTHrP[1-36];PTHrP[38-94];Osteostatin	PTHLH	P12272	7.610763685987408	3	0.0041862172	37.59803419870409	2466
Ras-related protein Rab-5C	RAB5C	P51148	7.609441690304896	3	4.587595e-05	9.653328969637602	873
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	RPN2	P04844	7.596318226054635	3	3.6191436e-06	4.453451544516387	344
Monocarboxylate transporter 1	SLC16A1	P53985	7.595363759167427	3	8.2660124e-05	11.41342348906353	914
Tubulin alpha-4A chain	TUBA4A	P68366	7.583599384517839	3	4.1472638e-05	9.198260118799912	1074
Cathepsin Z	CTSZ	Q9UBR2	7.576755016899593	3	0.00012236668	12.67943179886178	2242
Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent calcium channel subunit alpha-2-1;Voltage-dependent calcium channel subunit delta-1	CACNA2D1	P54289	7.56722388740028	3	1.1512647e-05	6.183395277606562	920
Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	SDHA	P31040	7.548448183399934	3	2.1868871e-05	7.403845383134655	672
Ubiquitin-like modifier-activating enzyme 1	UBA1	P22314	7.546020977101437	3	3.0836651e-05	8.196954869262202	581
Ras-related protein Rab-1B	RAB1B	Q9H0U4;Q92928	7.544962230350468	3	1.8644314e-05	7.039674224270571	2048
Folate receptor alpha	FOLR1	P15328	7.520950003774576	3	3.0828494e-05	8.055098125565474	506
Aldehyde dehydrogenase X, mitochondrial	ALDH1B1	P30837	7.496876111486788	3	4.898995e-06	4.553522397144929	669
Calumenin	CALU	O43852	7.4870195980725	3	1.6132108e-05	6.474239746329491	152
Palmitoyl-protein thioesterase 1	PPT1	P50897	7.448962471509443	3	3.3694192e-05	7.870839168643517	866
Poly(rC)-binding protein 2	PCBP2	Q15366;P57721	7.38715286811675	3	1.7799301e-06	3.111382566875373	1375
Prohibitin	PHB	P35232	7.386214005639312	3	2.7921529e-05	7.121361401007405	708
Glutaminase kidney isoform, mitochondrial	GLS	O94925	7.357341626915938	3	2.9104143e-05	7.067973116198366	261
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	P62873;P16520	7.333740107561283	3	0.00025028447	13.28912334632236	1042
Ras-related protein Rab-14	RAB14	P61106	7.318024267471788	3	6.5256216e-05	8.77042158284827	973
Reticulon-4	RTN4	Q9NQC3	7.299577514848583	3	0.00042593063	15.23076493010961	2138
Phosphate carrier protein, mitochondrial	SLC25A3	Q00325	7.243639507863083	3	7.8230842e-05	8.797034614620824	1109
Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	P04406;O14556	7.17363652949318	3	2.5217963e-05	5.960141420370087	337
Putative heat shock protein HSP 90-beta 2	HSP90AB2P	Q58FF8	7.154030261012583	3	2.7451673e-05	6.031842896389448	1466
Polypeptide N-acetylgalactosaminyltransferase 2;Polypeptide N-acetylgalactosaminyltransferase 2 soluble form	GALNT2	Q10471;Q8N428;Q96FL9	7.132674297371221	3	9.0130343e-05	8.500486871685844	1189
Peptidyl-prolyl cis-trans isomerase FKBP11	FKBP11	Q9NYL4	7.128394042185977	3	1.0692032e-05	4.461269820719565	2201
Ras-related protein Rab-10	RAB10	P61026	7.040888681663549	3	1.4558101e-05	4.607528902716957	970
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2	GNB2	P62879	6.960668435193492	3	0.00025198425	10.28194875378727	1043
Citrate synthase, mitochondrial	CS	O75390	6.956063750990225	3	5.1595598e-05	6.358455542125267	207
Peroxiredoxin-4	PRDX4	Q13162	6.911389764360534	3	6.7758469e-05	6.691610051948612	1232
Monocarboxylate transporter 4	SLC16A3	O15427	6.822978192895217	3	0.00018279382	8.485146995365723	110
Voltage-dependent anion-selective channel protein 1	VDAC1	P21796	6.747255713459385	3	0.00010647601	6.84242366076957	574
Carbamoyl-phosphate synthase [ammonia], mitochondrial	CPS1	P31327	6.704539390421264	3	0.00031607461	9.217203512389522	674
Ras-related protein Rab-7a	RAB7A	P51149	6.699661129089455	3	3.0653373e-05	4.550860798172744	874
Band 4.1-like protein 2	EPB41L2	O43491	6.680170147662389	3	7.7270925e-05	5.930634126410025	135
Eukaryotic translation initiation factor 4 gamma 2	EIF4G2	P78344	6.678959420869798	3	3.0791234e-05	4.492089222524448	1083
Kinectin	KTN1	Q86UP2	6.551869812385155	3	9.4086019e-05	5.757309856406587	1609
G-protein coupled receptor 56;GPR56 N-terminal fragment;GPR56 C-terminal fragment	GPR56	Q9Y653	6.506337232389516	3	0.00010397781	5.748867684238807	2417
Catenin delta-1	CTNND1	O60716	6.490301246676228	3	9.7619311e-05	5.578344585356944	178
T-complex protein 1 subunit zeta	CCT6A	P40227	6.489808170396646	3	7.434428e-05	5.13746243114272	755
ER membrane protein complex subunit 1	EMC1	Q8N766	6.442669311062927	3	3.7890033e-05	4.059197053924393	1669
Annexin A1	ANXA1	P04083	6.41698722352915	3	0.00017829084	6.355986830729196	332
Cell division control protein 42 homolog	CDC42	P60953	6.383621399136009	3	0.00017626828	6.189382559366073	964
Elongation factor 1-gamma	EEF1G	P26641	6.382906478138452	3	3.1433981e-05	3.681530894436337	623
B-cell receptor-associated protein 31	BCAP31	P51572	6.347547408722804	3	7.762594e-05	4.715969630378938	881
Guanine nucleotide-binding protein subunit alpha-11;Guanine nucleotide-binding protein subunit alpha-14	GNA11;GNA14	P29992;O95837;P19086;Q03113	6.313286620158612	3	0.00038745851	7.472089555965339	2694
ATP synthase subunit d, mitochondrial	ATP5H	O75947	6.31316067624828	3	0.00037651096	7.407250908273361	243
Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	PLOD2	O00469	6.302696088098227	3	0.00032619172	7.042897673934894	37
T-complex protein 1 subunit beta	CCT2	P78371	6.223451852953565	3	0.00044516602	7.320660159454909	1086
Aspartyl/asparaginyl beta-hydroxylase	ASPH	Q12797	6.220789814051336	3	0.00021615163	5.878908542283052	1198
Tumor necrosis factor receptor superfamily member 10A	TNFRSF10A	O00220	6.204921713964305	3	0.00019147887	5.60627555800062	2571
N-acetylglucosamine-6-sulfatase	GNS	P15586	6.201668367244235	3	0.00012941568	4.971410528130587	508
Cytochrome b-c1 complex subunit 2, mitochondrial	UQCRC2	P22695	6.168935755575525	3	0.00015239346	5.104968248185589	584
Membrane-associated progesterone receptor component 1	PGRMC1	O00264	6.1524984695381	3	0.00028000388	6.061448220711415	28
Retinoic acid-induced protein 3	GPRC5A	Q8NFJ5	6.101395660978374	3	0.00032751329	6.133134746592797	2529
Neural cell adhesion molecule L1	L1CAM	P32004	6.088153561824935	3	0.00016154235	4.912441018391061	686
Protein SDA1 homolog	SDAD1	Q9NVU7	6.07660639844455	3	0.00036844346	6.246193930293725	2957
Elongation factor 1-alpha 1;Putative elongation factor 1-alpha-like 3	EEF1A1;EEF1A1P5	P68104;Q5VTE0	6.064699185880478	3	3.1695443e-05	2.960202305434245	1072
CD166 antigen	ALCAM	Q13740	6.041997385037096	3	0.0001892209	4.98974669703644	1277
Pachytene checkpoint protein 2 homolog	TRIP13	Q15645	6.037871226281725	3	7.0062291e-05	3.689321416049941	1395
NADH-cytochrome b5 reductase 3;NADH-cytochrome b5 reductase 3 membrane-bound form;NADH-cytochrome b5 reductase 3 soluble form	CYB5R3	P00387	5.972301872834011	3	0.00026419738	5.256965542489107	309
Spectrin alpha chain, non-erythrocytic 1	SPTAN1	Q13813	5.967518657417818	3	0.00032238904	5.563137762153223	1279
Glutamate dehydrogenase 1, mitochondrial	GLUD1	P00367;P49448	5.964821958640682	3	0.00038157139	5.841738704265516	308
Sodium-coupled neutral amino acid transporter 5	SLC38A5	Q8WUX1	5.950437071331853	3	0.00051678059	6.336750707351611	2863
CD59 glycoprotein	CD59	P13987	5.93082861525893	3	0.00089133409	7.365937694439105	487
14-3-3 protein zeta/delta	YWHAZ	P63104	5.91526695268719	3	0.00059096469	6.438963961441346	1059
Vigilin	HDLBP	Q00341	5.902234803608449	3	0.0005420032	6.217077997268291	1110
Cyclin-dependent kinase 11B;Cyclin-dependent kinase 11A	CDK11B;CDK11A	P21127;Q9UQ88;Q13882	5.846532066359517	3	5.4742322e-05	2.999777044965867	2679
Tenascin	TNC	P24821	5.843664557481059	3	0.00030696971	5.030703463150351	601
Zinc transporter ZIP6	SLC39A6	Q13433	5.811463997621784	3	0.00015917538	4.037157644083414	2767
Ras-related protein Rab-8A	RAB8A	P61006	5.802397287998668	3	0.00022911819	4.476765618375915	966
Myosin regulatory light chain 12A;Myosin regulatory light chain 12B	MYL12A;MYL12B	P19105;O14950	5.790200941791841	3	0.0044542896	10.84515960944117	2584
Alpha-2A adrenergic receptor	ADRA2A	P08913	5.775664693284458	3	0.00017633363	4.06146429454409	2654
Elongation factor 2	EEF2	P13639	5.7746661984076	3	0.0018077182	8.178276394511746	480
Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	ATP2A2	P16615;O14983	5.772905090642414	3	0.0010055043	6.846131662380549	519
ATP synthase subunit O, mitochondrial	ATP5O	P48047	5.756712768947793	3	0.00034987112	4.926697484571426	817
T-complex protein 1 subunit gamma	CCT3	P49368	5.754756891128196	3	6.6413588e-05	2.983516867037698	839
Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed	PPIA	P62937;F5H284;Q9Y536;P0DN26;A0A0B4J2A2;A0A075B767;A0A075B759	5.750493433334624	3	0.00060909003	5.796471659609862	1051
L-lactate dehydrogenase A chain	LDHA	P00338;P07864;Q6ZMR3	5.707098453320437	3	0.00073704281	5.95702134745368	307
Procollagen galactosyltransferase 1	COLGALT1	Q8NBJ5	5.698866424105677	3	0.00038228283	4.860993647803904	1675
Fumarate hydratase, mitochondrial	FH	P07954	5.674688655127808	3	0.0004167594	4.906091360404264	386
Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain	CTSD	P07339	5.652430093957292	3	0.0014833403	7.079614970551016	376
Prohibitin-2	PHB2	Q99623	5.642278262980836	3	0.0012867381	6.73542237471495	1934
Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha;Putative PIP5K1A and PSMD4-like protein	PIP5K1A;PIPSL	Q99755;A2A3N6;O14986;O60331	5.636529058138722	3	0.00018999063	3.771821383140718	2901
cGMP-inhibited 3,5-cyclic phosphodiesterase A	PDE3A	Q14432	5.611662008535967	3	0.00028062449	4.169249209736483	1310
Equilibrative nucleoside transporter 1	SLC29A1	Q99808	5.608509094976174	3	0.00027407834	4.130693138315006	2902
Nuclear migration protein nudC	NUDC	Q9Y266	5.598543432389109	3	0.0001990701	3.725797894711901	2344
Protein AHNAK2	AHNAK2	Q8IVF2	5.57118124997432	3	0.00051375676	4.863310634803401	1629
Ribosome-binding protein 1	RRBP1	Q9P2E9	5.571135161075787	3	0.00024326483	3.883115103836263	2228
Ras-related protein Rab-1B;Putative Ras-related protein Rab-1C	RAB1B;RAB1C	Q9H0U4;Q92928	5.563542617843874	3	0.00076479488	5.453141304305118	2542
Plasma membrane calcium-transporting ATPase 1	ATP2B1	P20020;Q01814;Q16720	5.537829589085069	3	0.00072839501	5.278750592046197	561
Synaptic vesicle membrane protein VAT-1 homolog	VAT1	Q99536	5.535453092049021	3	0.00059194316	4.951045026927917	1927
Trifunctional enzyme subunit beta, mitochondrial;3-ketoacyl-CoA thiolase	HADHB	P55084	5.51676526382642	3	0.00053489325	4.74047773026613	933
Peptidyl-prolyl cis-trans isomerase B	PPIB	P23284	5.498019834955857	3	0.00056325039	4.752614097146926	589
Carnitine O-palmitoyltransferase 1, liver isoform	CPT1A	P50416	5.488678888037331	3	0.00017355915	3.312973082454137	859
Ezrin	EZR	P15311	5.473813260124906	3	0.00026064689	3.706007600171121	505
Coiled-coil domain-containing protein 47	CCDC47	Q96A33	5.426119232720517	3	0.00032760986	3.840984788181827	1821
D-3-phosphoglycerate dehydrogenase	PHGDH	O43175	5.424319987030547	3	0.00021280196	3.368941783930989	120
Guanine nucleotide-binding protein G(i) subunit alpha-1	GNAI1	P63096	5.422573605775	3	0.001052544	5.444553602733698	1058
Multifunctional protein ADE2;Phosphoribosylaminoimidazole-succinocarboxamide synthase;Phosphoribosylaminoimidazole carboxylase	PAICS	P22234	5.392155079953731	3	0.00088095054	5.052882438311375	580
Fructose-bisphosphate aldolase A	ALDOA	P04075	5.371539382393681	3	0.0013278286	5.636038185983788	331
Heat shock protein 75 kDa, mitochondrial	TRAP1	Q12931	5.358221276594353	3	0.00082923117	4.84634441932503	1213
Transforming growth factor-beta-induced protein ig-h3	TGFBI	Q15582	5.353730063572636	3	0.00045477896	4.032097428948737	1391
Myristoylated alanine-rich C-kinase substrate	MARCKS	P29966	5.347914420941576	3	0.0015530882	5.812305862034459	649
Vimentin	VIM	P08670;P41219;P17661;P07197;Q16352;P07196	5.309493007893909	3	0.00016461227	2.879773096700383	404
Golgi-associated plant pathogenesis-related protein 1	GLIPR2	Q9H4G4	5.211166991107598	3	0.00034254306	3.353998786060537	2071
Alpha-actinin-1	ACTN1	P12814	5.196850037499898	3	0.00064533262	4.018434968752397	474
Trifunctional enzyme subunit alpha, mitochondrial;Long-chain enoyl-CoA hydratase;Long chain 3-hydroxyacyl-CoA dehydrogenase	HADHA	P40939	5.165605338981617	3	0.00071895513	4.06232929421066	764
Caldesmon	CALD1	Q05682;REV__O75334;REV__Q13136	5.160785599564637	3	0.0014892333	5.041133865561779	1159
Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	PDHB	P11177	5.138671778151618	3	0.001119982	4.556363359954723	453
T-complex protein 1 subunit delta	CCT4	P50991	5.11776979062849	3	0.0015240612	4.927214444147237	869
Reticulocalbin-2	RCN2	Q14257	5.10302918769392	3	0.00030812307	3.014154605916979	1305
Magnesium transporter protein 1	MAGT1	Q9H0U3	5.102374271249811	3	0.0006934331	3.846053633513894	2927
GTPase NRas;GTPase KRas;GTPase KRas, N-terminally processed;GTPase HRas;GTPase HRas, N-terminally processed	NRAS	P01111;P01116;P01112	5.093263029510551	3	0.003093069	5.994554810792601	2634
Cysteine-rich protein 2	CRIP2	P52943	5.078942258074104	3	0.0014098488	4.685213536219393	906
PDZ and LIM domain protein 5	PDLIM5	Q96HC4	5.078907357677954	3	0.0006281872	3.673095445628174	1866
CD109 antigen	CD109	Q6YHK3	5.070832836823557	3	0.00074851839	3.850472056168528	1552
CD70 antigen	CD70	P32970	5.065188505619943	3	0.00031740408	2.962470792835775	691
Nodal modulator 1;Nodal modulator 3;Nodal modulator 2	NOMO1;NOMO3;NOMO2	Q15155;P69849;Q5JPE7	5.050518736998391	3	0.00084197021	3.933505280791521	2784
Epidermal growth factor receptor	EGFR	P00533;Q15303	5.050273798858496	3	0.0019464465	5.061329169913092	313
Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Polyubiquitin-B;Ubiquitin;Polyubiquitin-C;Ubiquitin	RPS27A;UBA52;UBB;UBC	P62979;P62987;P0CG47;P0CG48	5.043441208765074	3	0.00090202241	3.996282495458248	2737
X-ray repair cross-complementing protein 5	XRCC5	P13010	5.032578409932356	3	0.0014960152	4.618788439646561	476
Core histone macro-H2A.1	H2AFY	O75367;Q9P0M6	5.005647157736677	3	0.002175407	5.074226026399684	204
Ras-related protein Rab-5A	RAB5A	P20339	5.003841278366258	3	0.00076511054	3.700103152137803	564
