"so_SHORTNAME"	"so_NAME"	"so_PID"	"so_ratioWave"	"so_allTWave"	"int"
"GNAI3"	"Guanine nucleotide-binding protein G(k) subunit alpha"	"P08754"	15.1706254483814	5.5454082e-05	"PE"
"ACTN4"	"Alpha-actinin-4"	"O43707"	15.1564673150321	3.546775e-05	"PE"
"DDOST"	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit"	"P39656"	14.8362151228551	2.4108781e-08	"PE"
"LGALS1"	"Galectin-1"	"P09382"	14.4491374304257	1.8425985e-06	"PE"
"ATP6V0A1"	"V-type proton ATPase 116 kDa subunit a isoform 1"	"Q93050"	14.0161086021283	5.2456876e-08	"DM"
"ATP6V0D1"	"V-type proton ATPase subunit d 1"	"P61421"	13.9237903267208	1.3481894e-09	"DM"
"ITGA11"	"Integrin alpha-11"	"Q9UKX5"	13.8564564320346	4.2463353e-06	"PE"
"MDH2"	"Malate dehydrogenase, mitochondrial"	"P40926"	13.8074744311334	1.5357586e-05	"PE"
"WDFY1"	"WD repeat and FYVE domain-containing protein 1"	"Q8IWB7"	13.7868717952895	4.2427082e-08	"DM"
"ATP1B3"	"Sodium/potassium-transporting ATPase subunit beta-3"	"P54709"	13.7037917865582	1.0441013e-05	"PE"
"RPN1"	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1"	"P04843"	13.5556062794854	6.0645666e-06	"PE"
"TXNDC5"	"Thioredoxin domain-containing protein 5"	"Q8NBS9"	13.3267360912704	2.2957458e-06	"PE"
"GNB1"	"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1"	"P62873"	13.2891233463224	0.00025028447	"PE"
"ENO1"	"Alpha-enolase"	"P06733"	13.2182439307184	2.7790491e-05	"PE"
"RAB10"	"Ras-related protein Rab-10"	"P61026"	13.1189269619029	0.0001134568	"DM|PE"
"CDH2"	"Cadherin-2"	"P19022"	12.9130663610537	8.356605e-07	"PE"
"CTSZ"	"Cathepsin Z"	"Q9UBR2"	12.6794317988618	0.00012236668	"PE"
"MYO1C"	"Unconventional myosin-Ic"	"O00159"	12.3972176651715	1.949534e-07	"PE"
"TLN1"	"Talin-1"	"Q9Y490"	12.3555720500378	7.2675037e-05	"PE"
"PRKCSH"	"Glucosidase 2 subunit beta"	"P14314"	11.9417864515294	1.1087896e-05	"PE"
"GPC1"	"Glypican-1"	"P35052"	11.9230564198352	1.2027225e-06	"PE"
"ATP5A1"	"ATP synthase subunit alpha, mitochondrial"	"P25705"	11.7281785483185	5.8290972e-08	"PE"
"CKAP4"	"Cytoskeleton-associated protein 4"	"Q07065"	11.4817189512538	2.9293392e-07	"PE"
"SLC16A1"	"Monocarboxylate transporter 1"	"P53985"	11.4134234890635	8.2660124e-05	"PE"
"B4GALT1"	"Beta-1,4-galactosyltransferase 1"	"P15291"	11.333047313899	6.9361363e-07	"DM"
"ACSL3"	"Long-chain-fatty-acid--CoA ligase 3"	"O95573"	11.0195618061544	1.9139031e-06	"PE"
"SLC25A5"	"ADP/ATP translocase 2"	"P05141"	10.8568669822646	4.0081295e-06	"PE"
"MYL12A"	"Myosin regulatory light chain 12A"	"P19105"	10.8451596094412	0.0044542896	"PE"
"RAB11B"	"Ras-related protein Rab-11B"	"Q15907"	10.7851667687247	0.001950135	"DM"
"ITGA3"	"Integrin alpha-3"	"P26006"	10.7422028155586	9.0135163e-06	"PE"
"COL8A1"	"Collagen alpha-1(VIII) chain"	"P27658"	10.7086470847358	8.5313566e-08	"DM|RE"
"TAGLN2"	"Transgelin-2"	"P37802"	10.6760683113597	4.7583444e-06	"PE"
"ERP29"	"Endoplasmic reticulum resident protein 29"	"P30040"	10.6615783764901	2.3843151e-07	"PE"
"STOM"	"Erythrocyte band 7 integral membrane protein"	"P27105"	10.6217993388407	7.9622032e-06	"PE"
"RAB7A"	"Ras-related protein Rab-7a"	"P51149"	10.4247141083841	0.0013253802	"DM|PE"
"GNB2"	"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2"	"P62879"	10.2819487537873	0.00025198425	"PE"
"LMBRD2"	"LMBR1 domain-containing protein 2"	"Q68DH5"	10.2359670993116	4.2283018e-06	"DM"
"PLS3"	"Plastin-3"	"P13797"	10.1847750492902	1.1531149e-06	"PE"
"ARL8A"	"ADP-ribosylation factor-like protein 8A"	"Q96BM9"	10.1837129717634	0.0011473644	"DM"
"PDIA6"	"Protein disulfide-isomerase A6"	"Q15084"	9.96672143057838	1.6287865e-07	"PE"
"HSD17B4"	"Peroxisomal multifunctional enzyme type 2"	"P51659"	9.7888926994962	2.1276687e-06	"PE"
"TUFM"	"Elongation factor Tu, mitochondrial"	"P49411"	9.73250481929762	9.5553469e-07	"PE"
"SLC25A4"	"ADP/ATP translocase 2, N-terminally processed"	"P12235"	9.64784318502442	0.023356916	"PE"
"VAMP8"	"Vesicle-associated membrane protein 8"	"Q9BV40"	9.4509102444921	0.01716313	"DM"
"PLA2G4A"	"Cytosolic phospholipase A2"	"P47712"	9.2350128520672	4.529002e-05	"DM|PE"
"CPS1"	"Carbamoyl-phosphate synthase [ammonia], mitochondrial"	"P31327"	9.21720351238952	0.00031607461	"PE"
"TUBA4A"	"Tubulin alpha-4A chain"	"P68366"	9.19826011879991	4.1472638e-05	"PE"
"ATP5B"	"ATP synthase subunit beta, mitochondrial"	"P06576"	9.12939632997766	1.604406e-08	"PE"
"OXCT1"	"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial"	"P55809"	9.11956835607802	8.2681181e-06	"PE"
"PI4K2A"	"Phosphatidylinositol 4-kinase type 2-alpha"	"Q9BTU6"	9.02145407783312	1.1650541e-06	"DM"
"EPHX1"	"Epoxide hydrolase 1"	"P07099"	8.93167705182228	1.8050454e-05	"PE"
"FSCN1"	"Fascin"	"Q16658"	8.89488999440593	7.5121079e-06	"PE"
"SLC2A13"	"Proton myo-inositol cotransporter"	"Q96QE2"	8.86341079829573	1.0674542e-07	"DM"
"ESYT1"	"Extended synaptotagmin-1"	"Q9BSJ8"	8.81833121780636	4.4259368e-06	"PE"
"SLC25A3"	"Phosphate carrier protein, mitochondrial"	"Q00325"	8.79703461462082	7.8230842e-05	"PE"
"CD63"	"CD63 antigen"	"P08962"	8.73692931707936	0.0033460238	"DM"
"SLC16A3"	"Monocarboxylate transporter 4"	"O15427"	8.48514699536572	0.00018279382	"PE"
"SCAMP2"	"Secretory carrier-associated membrane protein 2"	"O15127"	8.38842625941538	8.7650442e-06	"DM|PE"
"SFT2D1"	"Vesicle transport protein SFT2A"	"Q8WV19"	8.29176975535154	0.0021501787	"DM"
"EEF2"	"Elongation factor 2"	"P13639"	8.17827639451175	0.0018077182	"PE"
"PLD1"	"Phospholipase D1"	"Q13393"	8.14100866338483	8.7464778e-06	"DM"
"FOLR1"	"Folate receptor alpha"	"P15328"	8.05509812556547	3.0828494e-05	"PE"
"SPTBN1"	"Spectrin beta chain, non-erythrocytic 1"	"Q01082"	8.02045661651866	1.4834461e-05	"PE"
"PPT1"	"Palmitoyl-protein thioesterase 1"	"P50897"	7.87083916864352	3.3694192e-05	"PE"
"MYOF"	"Myoferlin"	"Q9NZM1"	7.75478374285368	4.1705105e-05	"DM|PE"
"SHMT2"	"Serine hydroxymethyltransferase, mitochondrial"	"P34897"	7.59109415145361	1.397624e-06	"PE"
"GNA14"	"Guanine nucleotide-binding protein subunit alpha-11"	"P29992"	7.47208955596534	0.00038745851	"PE"
"LRRC59"	"Leucine-rich repeat-containing protein 59"	"Q96AG4"	7.42208574816848	1.5359614e-05	"PE"
"ATP5H"	"ATP synthase subunit d, mitochondrial"	"O75947"	7.40725090827336	0.00037651096	"PE"
"SDHA"	"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"	"P31040"	7.40384538313466	2.1868871e-05	"PE"
"ARL8B"	"ADP-ribosylation factor-like protein 8B"	"Q9NVJ2"	7.36751818870365	2.9570794e-05	"DM"
"CD59"	"CD59 glycoprotein"	"P13987"	7.3659376944391	0.00089133409	"PE"
"VDAC2"	"Voltage-dependent anion-selective channel protein 2"	"P45880"	7.35945190524836	4.7019585e-06	"PE"
"CCT2"	"T-complex protein 1 subunit beta"	"P78371"	7.32066015945491	0.00044516602	"PE"
"RAB5C"	"Ras-related protein Rab-5C"	"P51148"	7.31070432242972	0.00073912111	"DM|PE"
"RAB8A"	"Ras-related protein Rab-8A"	"P61006"	7.28601291221451	1.4996247e-05	"DM|PE"
"RPS27A"	"Ubiquitin-40S ribosomal protein S27a"	"P62979"	7.24677816450919	1.2691391e-05	"PE"
"PDIA4"	"Protein disulfide-isomerase A4"	"P13667"	7.239278632258	1.5245355e-05	"PE"
"STOML2"	"Stomatin-like protein 2, mitochondrial"	"Q9UJZ1"	7.19965745154175	9.139123e-06	"PE"
"SAR1A;SAR1B"	"GTP-binding protein SAR1a;GTP-binding protein SAR1b"	"Q9NR31;Q9Y6B6"	7.17212545000238	0.018655436	"PE"
"PHB"	"Prohibitin"	"P35232"	7.1213614010074	2.7921529e-05	"PE"
"CTSD"	"Cathepsin D"	"P07339"	7.07961497055102	0.0014833403	"PE"
"GLS"	"Glutaminase kidney isoform, mitochondrial"	"O94925"	7.06797311619837	2.9104143e-05	"PE"
"PLOD2"	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"	"O00469"	7.04289767393489	0.00032619172	"PE"
"RAB11A"	"Ras-related protein Rab-11A"	"P62491"	6.99697328491203	1.5304093e-05	"PE"
"ATP2A2"	"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2"	"P16615"	6.84613166238055	0.0010055043	"PE"
"VDAC1"	"Voltage-dependent anion-selective channel protein 1"	"P21796"	6.84242366076957	0.00010647601	"PE"
"PHB2"	"Prohibitin-2"	"Q99623"	6.73542237471495	0.0012867381	"PE"
"PRDX4"	"Peroxiredoxin-4"	"Q13162"	6.69161005194861	6.7758469e-05	"PE"
"SNAP23"	"Synaptosomal-associated protein 23"	"O00161"	6.65378292204338	4.7023159e-06	"PE"
"CSE1L"	"Exportin-2"	"P55060"	6.56674266047919	0.0055076447	"PE"
"GGT1"	"Gamma-glutamyltranspeptidase 1"	"P19440"	6.54216533175581	0.0082098339	"PE"
"CALU"	"Calumenin"	"O43852"	6.47423974632949	1.6132108e-05	"PE"
"YWHAZ"	"14-3-3 protein zeta/delta"	"P63104"	6.43896396144135	0.00059096469	"PE"
"HSPA5"	"78 kDa glucose-regulated protein"	"P11021"	6.4041128086079	2.805333e-08	"PE"
"CS"	"Citrate synthase, mitochondrial"	"O75390"	6.35845554212527	5.1595598e-05	"PE"
"ANXA1"	"Annexin A1"	"P04083"	6.3559868307292	0.00017829084	"PE"
"SLC38A5"	"Sodium-coupled neutral amino acid transporter 5"	"Q8WUX1"	6.33675070735161	0.00051678059	"PE"
"HDAC10"	"Histone deacetylase 10"	"Q969S8"	6.27520458929987	0.0010000729	"DM|RE"
"SDAD1"	"Protein SDA1 homolog"	"Q9NVU7"	6.24619393029372	0.00036844346	"PE"
"HDLBP"	"Vigilin"	"Q00341"	6.21707799726829	0.0005420032	"PE"
"CDC42"	"Cell division control protein 42 homolog"	"P60953"	6.18938255936607	0.00017626828	"PE"
"CACNA2D1"	"Voltage-dependent calcium channel subunit alpha-2/delta-1"	"P54289"	6.18339527760656	1.1512647e-05	"PE"
"GPRC5A"	"Retinoic acid-induced protein 3"	"Q8NFJ5"	6.1331347465928	0.00032751329	"PE"
"MARCKSL1"	"MARCKS-related protein"	"P49006"	6.09218868700704	4.6115324e-06	"PE"
"PGRMC1"	"Membrane-associated progesterone receptor component 1"	"O00264"	6.06144822071141	0.00028000388	"PE"
"HSP90AB2P"	"Putative heat shock protein HSP 90-beta 2"	"Q58FF8"	6.03184289638945	2.7451673e-05	"PE"
"NRAS"	"GTPase NRas"	"P01111"	5.9945548107926	0.003093069	"PE"
"GAPDH"	"Glyceraldehyde-3-phosphate dehydrogenase"	"P04406"	5.96014142037009	2.5217963e-05	"PE"
"LDHA"	"L-lactate dehydrogenase A chain"	"P00338"	5.95702134745368	0.00073704281	"PE|RE"
"SERINC1"	"Serine incorporator 1"	"Q9NRX5"	5.9493940068842	0.0017800898	"DM"
"EPB41L2"	"Band 4.1-like protein 2"	"O43491"	5.93063412641003	7.7270925e-05	"PE"
"TMEM43"	"Transmembrane protein 43"	"Q9BTV4"	5.92867058124637	8.7525032e-06	"PE"
"HSP90AA1"	"Heat shock protein HSP 90-alpha"	"P07900"	5.9017708522897	2.0818647e-06	"PE"
"ASPH"	"Aspartyl/asparaginyl beta-hydroxylase"	"Q12797"	5.87890854228305	0.00021615163	"PE"
"GLUD1"	"Glutamate dehydrogenase 1, mitochondrial"	"P00367"	5.84173870426552	0.00038157139	"PE"
"HSPE1"	"10 kDa heat shock protein, mitochondrial"	"P61604"	5.82306506270217	0.0040193726	"PE"
"MARCKS"	"Myristoylated alanine-rich C-kinase substrate"	"P29966"	5.81230586203446	0.0015530882	"PE"
"PPIA"	"Peptidyl-prolyl cis-trans isomerase A"	"P62937"	5.79647165960986	0.00060909003	"PE"
"SLC9A3R2"	"Na(+)/H(+) exchange regulatory cofactor NHE-RF2"	"Q15599"	5.78621050025718	0.0068658544	"PE"
"KTN1"	"Kinectin"	"Q86UP2"	5.75730985640659	9.4086019e-05	"PE"
"GPR56"	"G-protein coupled receptor 56"	"Q9Y653"	5.74886768423881	0.00010397781	"PE"
"DSP"	"Desmoplakin"	"P15924"	5.71535909975581	0.00056290958	"DM|RE"
"RAB8B"	"Ras-related protein Rab-8B"	"Q92930"	5.64641685063834	0.022045106	"DM"
"TNFRSF10A"	"Tumor necrosis factor receptor superfamily member 10A"	"O00220"	5.60627555800062	0.00019147887	"PE"
"ARFGAP1"	"ADP-ribosylation factor GTPase-activating protein 1"	"Q8N6T3"	5.58966946775419	1.4146538e-05	"DM"
"CTNND1"	"Catenin delta-1"	"O60716"	5.57834458535694	9.7619311e-05	"PE"
"SPTAN1"	"Spectrin alpha chain, non-erythrocytic 1"	"Q13813"	5.56313776215322	0.00032238904	"PE"
"GALNT2"	"Polypeptide N-acetylgalactosaminyltransferase 2"	"Q10471"	5.51420309069469	0.0015063224	"DM|PE"
"GNAI1"	"Guanine nucleotide-binding protein G(i) subunit alpha-1"	"P63096"	5.4445536027337	0.001052544	"PE"
"RHOA"	"Transforming protein RhoA"	"P61586"	5.41559969874498	0.005072739	"PE"
"FAM129B"	"Niban-like protein 1"	"Q96TA1"	5.3757483973378	0.011420135	"PE"
"ATP2B1"	"Plasma membrane calcium-transporting ATPase 1"	"P20020"	5.2787505920462	0.00072839501	"PE"
"TMEM87A"	"Transmembrane protein 87A"	"Q8NBN3"	5.27710435882898	1.1842611e-05	"DM"
"CYB5R3"	"NADH-cytochrome b5 reductase 3"	"P00387"	5.25696554248911	0.00026419738	"PE"
"IQGAP1"	"Ras GTPase-activating-like protein IQGAP1"	"P46940"	5.222821115301	0.0081889927	"PE"
"PGRMC2"	"Membrane-associated progesterone receptor component 2"	"O15173"	5.21465110473718	4.9904661e-06	"PE"
"PON2"	"Serum paraoxonase/arylesterase 2"	"Q15165"	5.20690667444515	0.013014858	"PE"
"SERPINH1"	"Serpin H1"	"P50454"	5.20561974576006	6.0059127e-09	"PE"
"VCP"	"Transitional endoplasmic reticulum ATPase"	"P55072"	5.13997623448688	0.0025812841	"PE"
"YES1"	"Tyrosine-protein kinase Yes"	"P07947"	5.13814991223796	0.006082945	"PE"
"CCT6A"	"T-complex protein 1 subunit zeta"	"P40227"	5.13746243114272	7.434428e-05	"PE"
"UQCRC2"	"Cytochrome b-c1 complex subunit 2, mitochondrial"	"P22695"	5.10496824818559	0.00015239346	"PE"
"H2AFY"	"Core histone macro-H2A.1"	"O75367"	5.07422602639968	0.002175407	"PE"
"EGFR"	"Epidermal growth factor receptor"	"P00533"	5.06132916991309	0.0019464465	"PE"
"PAICS"	"Multifunctional protein ADE2"	"P22234"	5.05288243831138	0.00088095054	"PE"
"CALD1"	"Caldesmon"	"Q05682"	5.04113386556178	0.0014892333	"PE"
"TNC"	"Tenascin"	"P24821"	5.03070346315035	0.00030696971	"PE"
"RAB5A"	"Ras-related protein Rab-5A"	"P20339"	5.0227877182627	0.0049398118	"DM|PE"
"SLC12A4"	"Solute carrier family 12 member 4"	"Q9UP95"	5.01893598117557	4.1175208e-05	"DM"
"PTRF"	"Polymerase I and transcript release factor"	"Q6NZI2"	5.01185212124796	1.2474341e-06	"PE"
"ALCAM"	"CD166 antigen"	"Q13740"	4.98974669703644	0.0001892209	"PE"
"GNS"	"N-acetylglucosamine-6-sulfatase"	"P15586"	4.97141052813059	0.00012941568	"PE"
"LAMTOR1"	"Ragulator complex protein LAMTOR1"	"Q6IAA8"	4.9599021757816	0.015198534	"DM"
"VAT1"	"Synaptic vesicle membrane protein VAT-1 homolog"	"Q99536"	4.95104502692792	0.00059194316	"PE"
"CCT4"	"T-complex protein 1 subunit delta"	"P50991"	4.92721444414724	0.0015240612	"PE"
"ATP5O"	"ATP synthase subunit O, mitochondrial"	"P48047"	4.92669748457143	0.00034987112	"PE"
"L1CAM"	"Neural cell adhesion molecule L1"	"P32004"	4.91244101839106	0.00016154235	"PE"
"FH"	"Fumarate hydratase, mitochondrial"	"P07954"	4.90609136040426	0.0004167594	"PE"
"AHNAK2"	"Protein AHNAK2"	"Q8IVF2"	4.8633106348034	0.00051375676	"PE"
"COLGALT1"	"Procollagen galactosyltransferase 1"	"Q8NBJ5"	4.8609936478039	0.00038228283	"PE"
"LCN1"	"Lipocalin-1"	"P31025"	4.86058477531713	0.025019728	"DM|RE"
"TPM3"	"Tropomyosin alpha-3 chain"	"P06753"	4.8482684820023	0.030878257	"DM|PE|RE"
"TRAP1"	"Heat shock protein 75 kDa, mitochondrial"	"Q12931"	4.84634441932503	0.00082923117	"PE"
"SQSTM1"	"Sequestosome-1"	"Q13501"	4.77257157348314	0.031450711	"PE"
"PPIB"	"Peptidyl-prolyl cis-trans isomerase B"	"P23284"	4.75261409714693	0.00056325039	"PE"
"HADHB"	"Trifunctional enzyme subunit beta, mitochondrial"	"P55084"	4.74047773026613	0.00053489325	"PE"
"CNP"	"2,3-cyclic-nucleotide 3-phosphodiesterase"	"P09543"	4.72836471252307	0.021066938	"PE"
"SRP54"	"Signal recognition particle 54 kDa protein"	"P61011"	4.72305006765495	0.0045963838	"PE"
"BCAP31"	"B-cell receptor-associated protein 31"	"P51572"	4.71596963037894	7.762594e-05	"PE"
"EIF4E"	"Eukaryotic translation initiation factor 4E"	"P06730"	4.7062986011412	0.00075351313	"DM"
"CRIP2"	"Cysteine-rich protein 2"	"P52943"	4.68521353621939	0.0014098488	"PE"
"TPM4"	"Tropomyosin alpha-4 chain"	"P67936"	4.63537542875544	0.042617559	"DM|RE"
"XRCC5"	"X-ray repair cross-complementing protein 5"	"P13010"	4.61878843964656	0.0014960152	"PE"
"GNAS"	"Guanine nucleotide-binding protein G(s) subunit alpha isoforms short"	"P63092"	4.61649575883375	0.0047069802	"PE"
"DIMT1"	"Probable dimethyladenosine transferase"	"Q9UNQ2"	4.60721491517475	0.016982784	"PE"
"FERMT2"	"Fermitin family homolog 2"	"Q96AC1"	4.59203386166619	0.0017879686	"PE"
"TUBB6"	"Tubulin beta-6 chain"	"Q9BUF5"	4.57575237181987	0.0060069822	"PE"
"SLC7A11"	"Cystine/glutamate transporter"	"Q9UPY5"	4.56481364147537	0.0050258744	"PE"
"PDHB"	"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial"	"P11177"	4.55636335995472	0.001119982	"PE"
"ALDH1B1"	"Aldehyde dehydrogenase X, mitochondrial"	"P30837"	4.55352239714493	4.898995e-06	"PE"
"FKBP10"	"Peptidyl-prolyl cis-trans isomerase FKBP10"	"Q96AY3"	4.52659804287376	0.0057551069	"PE"
"TPBG"	"Trophoblast glycoprotein"	"Q13641"	4.50510941366813	0.0034548161	"DM|PE"
"NME2"	"Nucleoside diphosphate kinase B"	"P22392"	4.49976732345177	0.017741883	"PE"
"EIF4G2"	"Eukaryotic translation initiation factor 4 gamma 2"	"P78344"	4.49208922252445	3.0791234e-05	"PE"
"HSD17B10"	"3-hydroxyacyl-CoA dehydrogenase type-2"	"Q99714"	4.49193044736282	0.0045880917	"PE"
"EHD2"	"EH domain-containing protein 2"	"Q9NZN4"	4.48830455920061	0.0020297107	"PE"
