so_SHORTNAME	so_NAME	so_PID	so_ratioWave	so_allTWave	int	dm_int	pe_int	intensity
CANX	Calnexin	P27824	33.9292761573399	1.3002034e-06	PE	7888080.84340628	111252.541035862	7888080.84340628
HLA-A	HLA class I histocompatibility antigen, A-3 alpha chain	P04439	32.8621562563004	3.4754017e-08	PE	7360992.8138313	738851.011125568	7360992.8138313
RAB1C	Putative Ras-related protein Rab-1C	Q92928	32.140129305881	0.0001086136	DM|PE	7357720.72165741	439831.066600283	7357720.72165741
PDIA3	Protein disulfide-isomerase A3	P30101	31.1003299690043	4.7597596e-06	PE	4525277.56128698	564407.170215887	4525277.56128698
MSN	Moesin	P26038	28.3121414127773	3.7315064e-07	PE	5532182.68294084	147183.489012063	5532182.68294084
P4HB	Protein disulfide-isomerase	P07237	27.8787954185802	1.472346e-06	PE	6497593.32249162	455066.963761162	6497593.32249162
SCAMP1	Secretory carrier-associated membrane protein 1	O15126	27.2180492185815	7.2975026e-09	DM	12336415.7384697	449796.497001476	12336415.7384697
BST2	Bone marrow stromal antigen 2	Q10589	26.7847000891606	1.545637e-05	DM|PE	5111968.88166978	447660.225210204	5111968.88166978
SLC1A5	Neutral amino acid transporter B(0)	Q15758	25.8523037468788	1.4240687e-06	PE	16429935.4647558	371158.770069069	16429935.4647558
DNAJC5	DnaJ homolog subfamily C member 5	Q9H3Z4	25.8106037277116	1.5481216e-06	DM	4733723.28047692	345698.22144644	4733723.28047692
HIST1H2AJ	Histone H2A type 1-J	Q99878	25.6670864746644	0.026283512	DM|RE	12110193.7860001	75068.14426886	12110193.7860001
ITGA5	Integrin alpha-5	P08648	25.430752722306	1.5394379e-07	PE	4439388.52844416	239740.843072874	4439388.52844416
DNAJC13	DnaJ homolog subfamily C member 13	O75165	25.2173358579634	8.0910771e-09	DM	3376628.60399455	217534.635444522	3376628.60399455
M6PR	Cation-dependent mannose-6-phosphate receptor	P20645	24.500170592644	2.7054188e-08	DM	4807133.43766601	969506.6299876	4807133.43766601
MCAM	Cell surface glycoprotein MUC18	P43121	24.1271504331128	1.1623757e-07	PE	3670836.25451643	337595.074834557	3670836.25451643
GANAB	Neutral alpha-glucosidase AB	Q14697	23.6846808294101	1.1874231e-06	PE	3989342.75081767	353698.687642076	3989342.75081767
JUP	Junction plakoglobin	P14923	23.3761627041322	3.9124643e-07	PE	3870492.15921645	349280.103424173	3870492.15921645
VAMP7	Vesicle-associated membrane protein 7	P51809	23.1088439790749	1.3252112e-09	DM	3367724.50900746	275506.023434553	3367724.50900746
VAMP3	Vesicle-associated membrane protein 3	Q15836	22.8184077173349	1.1221455e-06	DM|PE	3356809.46709949	281685.088526174	3356809.46709949
PLEC	Plectin	Q15149	21.9268296422974	2.3798992e-07	PE	3790579.25129328	570603.449086032	3790579.25129328
RAB14	Ras-related protein Rab-14	P61106	19.8162975546243	9.4348792e-07	DM|PE	2642188.52252986	302372.951246732	2642188.52252986
VAMP2	Vesicle-associated membrane protein 2	P63027	19.7001435510704	2.8511745e-06	DM	5245803.14813343	340465.916671557	5245803.14813343
ATG9A	Autophagy-related protein 9A	Q7Z3C6	19.4823515485338	9.2478264e-10	DM	2076224.0044256	250687.498879241	2076224.0044256
HSP90B1	Endoplasmin	P14625	19.3589193613657	1.2304636e-08	PE	9107365.15619048	252766.658488011	9107365.15619048
RAB2A	Ras-related protein Rab-2A	P61019	19.0269093016627	1.5154036e-07	DM	2404329.08480949	334388.160532908	2404329.08480949
ITGAV	Integrin alpha-V	P06756	18.5175072539599	8.7582485e-08	PE	9308594.5961637	1729959.66394082	9308594.5961637
HSPA9	Stress-70 protein, mitochondrial	P38646	18.4842749453292	1.9591762e-05	PE	2565678.97038047	515078.258918285	2565678.97038047
CTNNA1	Catenin alpha-1	P35221	18.1107953405019	1.2214569e-07	PE	3015376.83024057	246936.966433845	3015376.83024057
DAGLB	Sn1-specific diacylglycerol lipase beta	Q8NCG7	17.4431687479697	3.7236634e-07	DM	2306309.85555184	446535.015335152	2306309.85555184
LAMP1	Lysosome-associated membrane glycoprotein 1	P11279	17.423384857991	0.00019377341	DM|PE	2971745.25868274	324905.694243473	2971745.25868274
TPD52L1	Tumor protein D53	Q16890	17.2552139759533	3.0906246e-08	DM	4806357.11733394	272150.113378937	4806357.11733394
TMEM179B	Transmembrane protein 179B	Q7Z7N9	17.2148807416847	0.0013299284	DM	2531142.7500902	208203.518326935	2531142.7500902
ATP1B1	Sodium/potassium-transporting ATPase subunit beta-1	P05026	16.7958377297609	4.4314752e-06	PE	2223438.48691877	223417.094686467	2223438.48691877
HIST3H3	Histone H3.2	Q71DI3	16.5475724481967	0.0047139488	DM	2327306.98039807	191440.956125443	2327306.98039807
PCYT1A	Choline-phosphate cytidylyltransferase A	P49585	16.1800687846428	2.4672568e-06	DM	2199814.75774502	315019.571572152	2199814.75774502
HLA-B	HLA class I histocompatibility antigen, B-7 alpha chain	P01889	16.152485239962	1.1809072e-05	PE	1574689.80271526	256676.581767255	1574689.80271526
CFL1	Cofilin-1	P23528	15.7993073086199	7.7235185e-10	PE	8947334.71824186	266013.266721433	8947334.71824186
RAP1B	Ras-related protein Rap-1b	P61224	15.7904557945854	9.0651065e-07	PE	2156675.16022988	515510.470017688	2156675.16022988
CTNNB1	Catenin beta-1	P35222	15.7448893246953	1.6687147e-06	PE	17657901.084065	86476.4172525825	17657901.084065
DSG2	Desmoglein-2	Q14126	15.2393803368944	1.2292238e-05	PE	2117227.95712506	258120.816618452	2117227.95712506
HSPD1	60 kDa heat shock protein, mitochondrial	P10809	15.2376566641054	2.0621319e-07	PE	2025190.97629372	185678.023999366	2025190.97629372
RTN4	Reticulon-4	Q9NQC3	15.2307649301096	0.00042593063	PE	2120246.57700047	266536.901548471	2120246.57700047
GNAI3	Guanine nucleotide-binding protein G(k) subunit alpha	P08754	15.1706254483814	5.5454082e-05	PE	1624379.6886591	208500.230502495	1624379.6886591
ACTN4	Alpha-actinin-4	O43707	15.1564673150321	3.546775e-05	PE	1663538.75665462	223173.947582524	1663538.75665462
DDOST	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	P39656	14.8362151228551	2.4108781e-08	PE	2164079.23589292	237974.853767313	2164079.23589292
LGALS1	Galectin-1	P09382	14.4491374304257	1.8425985e-06	PE	6000673.9775773	756563.800439051	6000673.9775773
ATP6V0A1	V-type proton ATPase 116 kDa subunit a isoform 1	Q93050	14.0161086021283	5.2456876e-08	DM	1985136.89329834	210147.387724327	1985136.89329834
ATP6V0D1	V-type proton ATPase subunit d 1	P61421	13.9237903267208	1.3481894e-09	DM	1381739.99346115	178203.178757989	1381739.99346115
ITGA11	Integrin alpha-11	Q9UKX5	13.8564564320346	4.2463353e-06	PE	1093892.21395065	225124.196819901	1093892.21395065
MDH2	Malate dehydrogenase, mitochondrial	P40926	13.8074744311334	1.5357586e-05	PE	5108246.99194405	195829.059029554	5108246.99194405
WDFY1	WD repeat and FYVE domain-containing protein 1	Q8IWB7	13.7868717952895	4.2427082e-08	DM	3498792.4429083	814761.571411155	3498792.4429083
ATP1B3	Sodium/potassium-transporting ATPase subunit beta-3	P54709	13.7037917865582	1.0441013e-05	PE	2323193.05319565	223280.934568013	2323193.05319565
RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	P04843	13.5556062794854	6.0645666e-06	PE	1652888.42389509	214907.814315677	1652888.42389509
TXNDC5	Thioredoxin domain-containing protein 5	Q8NBS9	13.3267360912704	2.2957458e-06	PE	1771844.33190226	229406.468821079	1771844.33190226
GNB1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	P62873	13.2891233463224	0.00025028447	PE	1390909.58692661	202884.663959641	1390909.58692661
ENO1	Alpha-enolase	P06733	13.2182439307184	2.7790491e-05	PE	1293210.51304378	249441.416811525	1293210.51304378
RAB10	Ras-related protein Rab-10	P61026	13.1189269619029	0.0001134568	DM|PE	2807105.38694375	191093.414061837	2807105.38694375
CDH2	Cadherin-2	P19022	12.9130663610537	8.356605e-07	PE	1237884.49737137	171818.028407135	1237884.49737137
CTSZ	Cathepsin Z	Q9UBR2	12.6794317988618	0.00012236668	PE	1146023.82548179	843581.408319781	1146023.82548179
MYO1C	Unconventional myosin-Ic	O00159	12.3972176651715	1.949534e-07	PE	1892121.71486988	125365.674657131	1892121.71486988
TLN1	Talin-1	Q9Y490	12.3555720500378	7.2675037e-05	PE	2448650.54909679	150723.641212366	2448650.54909679
PRKCSH	Glucosidase 2 subunit beta	P14314	11.9417864515294	1.1087896e-05	PE	1861197.82063125	225697.429139536	1861197.82063125
GPC1	Glypican-1	P35052	11.9230564198352	1.2027225e-06	PE	1047532.87291706	64572.1012459724	1047532.87291706
ATP5A1	ATP synthase subunit alpha, mitochondrial	P25705	11.7281785483185	5.8290972e-08	PE	2587032.99899462	149727.265826332	2587032.99899462
CKAP4	Cytoskeleton-associated protein 4	Q07065	11.4817189512538	2.9293392e-07	PE	1808862.92302045	680585.840225587	1808862.92302045
SLC16A1	Monocarboxylate transporter 1	P53985	11.4134234890635	8.2660124e-05	PE	4171454.81260449	1090088.50936915	4171454.81260449
B4GALT1	Beta-1,4-galactosyltransferase 1	P15291	11.333047313899	6.9361363e-07	DM	1318966.15860234	156895.904728447	1318966.15860234
ACSL3	Long-chain-fatty-acid--CoA ligase 3	O95573	11.0195618061544	1.9139031e-06	PE	1554256.41069643	160607.489225732	1554256.41069643
SLC25A5	ADP/ATP translocase 2	P05141	10.8568669822646	4.0081295e-06	PE	1086759.49565188	152586.02236452	1086759.49565188
MYL12A	Myosin regulatory light chain 12A	P19105	10.8451596094412	0.0044542896	PE	2055396.45701788	125123.811992512	2055396.45701788
RAB11B	Ras-related protein Rab-11B	Q15907	10.7851667687247	0.001950135	DM	1566790.44203401	175366.583698269	1566790.44203401
ITGA3	Integrin alpha-3	P26006	10.7422028155586	9.0135163e-06	PE	2186866.46878975	195790.948600844	2186866.46878975
COL8A1	Collagen alpha-1(VIII) chain	P27658	10.7086470847358	8.5313566e-08	DM|RE	1115279.9682056	46335.5477291681	1115279.9682056
TAGLN2	Transgelin-2	P37802	10.6760683113597	4.7583444e-06	PE	1100186.21977327	238487.676596326	1100186.21977327
ERP29	Endoplasmic reticulum resident protein 29	P30040	10.6615783764901	2.3843151e-07	PE	1416560.80198362	194097.394084742	1416560.80198362
STOM	Erythrocyte band 7 integral membrane protein	P27105	10.6217993388407	7.9622032e-06	PE	1552958.61035417	181488.243103475	1552958.61035417
RAB7A	Ras-related protein Rab-7a	P51149	10.4247141083841	0.0013253802	DM|PE	1376359.88838441	124034.975559835	1376359.88838441
GNB2	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2	P62879	10.2819487537873	0.00025198425	PE	6244725.52568701	251543.217577081	6244725.52568701
LMBRD2	LMBR1 domain-containing protein 2	Q68DH5	10.2359670993116	4.2283018e-06	DM	1758772.2905181	116513.893069558	1758772.2905181
PLS3	Plastin-3	P13797	10.1847750492902	1.1531149e-06	PE	1905400.4034085	130661.314488464	1905400.4034085
ARL8A	ADP-ribosylation factor-like protein 8A	Q96BM9	10.1837129717634	0.0011473644	DM	1165948.0895431	123828.243104343	1165948.0895431
PDIA6	Protein disulfide-isomerase A6	Q15084	9.96672143057838	1.6287865e-07	PE	1812616.78695081	116628.044151171	1812616.78695081
HSD17B4	Peroxisomal multifunctional enzyme type 2	P51659	9.7888926994962	2.1276687e-06	PE	11470036.7989689	107728.536150812	11470036.7989689
TUFM	Elongation factor Tu, mitochondrial	P49411	9.73250481929762	9.5553469e-07	PE	874323.47048079	138604.397932949	874323.47048079
SLC25A4	ADP/ATP translocase 2, N-terminally processed	P12235	9.64784318502442	0.023356916	PE	489200.709694272	221691.80534475	489200.709694272
VAMP8	Vesicle-associated membrane protein 8	Q9BV40	9.4509102444921	0.01716313	DM	NA	170107.825574567	170107.825574567
PLA2G4A	Cytosolic phospholipase A2	P47712	9.2350128520672	4.529002e-05	DM|PE	NA	94964.4025547287	94964.4025547287
CPS1	Carbamoyl-phosphate synthase [ammonia], mitochondrial	P31327	9.21720351238952	0.00031607461	PE	NA	1592594.76174988	1592594.76174988
TUBA4A	Tubulin alpha-4A chain	P68366	9.19826011879991	4.1472638e-05	PE	NA	133945.157009517	133945.157009517
ATP5B	ATP synthase subunit beta, mitochondrial	P06576	9.12939632997766	1.604406e-08	PE	NA	119677.767224767	119677.767224767
OXCT1	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial	P55809	9.11956835607802	8.2681181e-06	PE	NA	187590.463444263	187590.463444263
PI4K2A	Phosphatidylinositol 4-kinase type 2-alpha	Q9BTU6	9.02145407783312	1.1650541e-06	DM	NA	146118.598283743	146118.598283743
EPHX1	Epoxide hydrolase 1	P07099	8.93167705182228	1.8050454e-05	PE	NA	140471.041353913	140471.041353913
FSCN1	Fascin	Q16658	8.89488999440593	7.5121079e-06	PE	NA	145344.838713223	145344.838713223
SLC2A13	Proton myo-inositol cotransporter	Q96QE2	8.86341079829573	1.0674542e-07	DM	NA	134140.005981442	134140.005981442
ESYT1	Extended synaptotagmin-1	Q9BSJ8	8.81833121780636	4.4259368e-06	PE	NA	144890.672114529	144890.672114529
SLC25A3	Phosphate carrier protein, mitochondrial	Q00325	8.79703461462082	7.8230842e-05	PE	NA	152685.160470768	152685.160470768
CD63	CD63 antigen	P08962	8.73692931707936	0.0033460238	DM	NA	142396.167472585	142396.167472585
SLC16A3	Monocarboxylate transporter 4	O15427	8.48514699536572	0.00018279382	PE	NA	125423.067117316	125423.067117316
SCAMP2	Secretory carrier-associated membrane protein 2	O15127	8.38842625941538	8.7650442e-06	DM|PE	NA	96871.9993896123	96871.9993896123
SFT2D1	Vesicle transport protein SFT2A	Q8WV19	8.29176975535154	0.0021501787	DM	NA	128110.817868784	128110.817868784
EEF2	Elongation factor 2	P13639	8.17827639451175	0.0018077182	PE	NA	173600.66118897	173600.66118897
PLD1	Phospholipase D1	Q13393	8.14100866338483	8.7464778e-06	DM	NA	94488.54470454	94488.54470454
FOLR1	Folate receptor alpha	P15328	8.05509812556547	3.0828494e-05	PE	NA	118254.235841007	118254.235841007
SPTBN1	Spectrin beta chain, non-erythrocytic 1	Q01082	8.02045661651866	1.4834461e-05	PE	NA	155461.966149614	155461.966149614
PPT1	Palmitoyl-protein thioesterase 1	P50897	7.87083916864352	3.3694192e-05	PE	NA	2721603.75248267	2721603.75248267
MYOF	Myoferlin	Q9NZM1	7.75478374285368	4.1705105e-05	DM|PE	NA	120176.573951197	120176.573951197
SHMT2	Serine hydroxymethyltransferase, mitochondrial	P34897	7.59109415145361	1.397624e-06	PE	NA	133959.777394161	133959.777394161
GNA14	Guanine nucleotide-binding protein subunit alpha-11	P29992	7.47208955596534	0.00038745851	PE	NA	142194.980372778	142194.980372778
LRRC59	Leucine-rich repeat-containing protein 59	Q96AG4	7.42208574816848	1.5359614e-05	PE	NA	104192.582844954	104192.582844954
ATP5H	ATP synthase subunit d, mitochondrial	O75947	7.40725090827336	0.00037651096	PE	NA	160852.617105147	160852.617105147
SDHA	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	P31040	7.40384538313466	2.1868871e-05	PE	NA	104345.715433254	104345.715433254
ARL8B	ADP-ribosylation factor-like protein 8B	Q9NVJ2	7.36751818870365	2.9570794e-05	DM	NA	95394.5529377558	95394.5529377558
CD59	CD59 glycoprotein	P13987	7.3659376944391	0.00089133409	PE	NA	105142.30079829	105142.30079829
VDAC2	Voltage-dependent anion-selective channel protein 2	P45880	7.35945190524836	4.7019585e-06	PE	NA	96312.3098089837	96312.3098089837
CCT2	T-complex protein 1 subunit beta	P78371	7.32066015945491	0.00044516602	PE	NA	124489.585979111	124489.585979111
RAB5C	Ras-related protein Rab-5C	P51148	7.31070432242972	0.00073912111	DM|PE	NA	114419.212361189	114419.212361189
RAB8A	Ras-related protein Rab-8A	P61006	7.28601291221451	1.4996247e-05	DM|PE	NA	164038.335542018	164038.335542018
RPS27A	Ubiquitin-40S ribosomal protein S27a	P62979	7.24677816450919	1.2691391e-05	PE	NA	1651327.02337437	1651327.02337437
PDIA4	Protein disulfide-isomerase A4	P13667	7.239278632258	1.5245355e-05	PE	NA	176315.290233548	176315.290233548
STOML2	Stomatin-like protein 2, mitochondrial	Q9UJZ1	7.19965745154175	9.139123e-06	PE	NA	126567.833940146	126567.833940146
SAR1A;SAR1B	GTP-binding protein SAR1a;GTP-binding protein SAR1b	Q9NR31;Q9Y6B6	7.17212545000238	0.018655436	PE	NA	97742.2451226868	97742.2451226868
PHB	Prohibitin	P35232	7.1213614010074	2.7921529e-05	PE	NA	619586.295137882	619586.295137882
CTSD	Cathepsin D	P07339	7.07961497055102	0.0014833403	PE	NA	115418.582183806	115418.582183806
GLS	Glutaminase kidney isoform, mitochondrial	O94925	7.06797311619837	2.9104143e-05	PE	NA	85276.2529776552	85276.2529776552
PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	O00469	7.04289767393489	0.00032619172	PE	NA	96945.7865585243	96945.7865585243
RAB11A	Ras-related protein Rab-11A	P62491	6.99697328491203	1.5304093e-05	PE	NA	136992.377419514	136992.377419514
ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	P16615	6.84613166238055	0.0010055043	PE	NA	180529.262216853	180529.262216853
VDAC1	Voltage-dependent anion-selective channel protein 1	P21796	6.84242366076957	0.00010647601	PE	NA	123062.995904541	123062.995904541
PHB2	Prohibitin-2	Q99623	6.73542237471495	0.0012867381	PE	NA	80121.4216776331	80121.4216776331
PRDX4	Peroxiredoxin-4	Q13162	6.69161005194861	6.7758469e-05	PE	NA	98295.712567259	98295.712567259
SNAP23	Synaptosomal-associated protein 23	O00161	6.65378292204338	4.7023159e-06	PE	NA	80561.9502413957	80561.9502413957
CSE1L	Exportin-2	P55060	6.56674266047919	0.0055076447	PE	NA	117503.663532175	117503.663532175
GGT1	Gamma-glutamyltranspeptidase 1	P19440	6.54216533175581	0.0082098339	PE	NA	97712.4729583692	97712.4729583692
CALU	Calumenin	O43852	6.47423974632949	1.6132108e-05	PE	NA	190036.999442163	190036.999442163
YWHAZ	14-3-3 protein zeta/delta	P63104	6.43896396144135	0.00059096469	PE	NA	61841.0158888465	61841.0158888465
HSPA5	78 kDa glucose-regulated protein	P11021	6.4041128086079	2.805333e-08	PE	NA	102712.512340191	102712.512340191
CS	Citrate synthase, mitochondrial	O75390	6.35845554212527	5.1595598e-05	PE	NA	186204.575852297	186204.575852297
ANXA1	Annexin A1	P04083	6.3559868307292	0.00017829084	PE	NA	93023.8096233112	93023.8096233112
SLC38A5	Sodium-coupled neutral amino acid transporter 5	Q8WUX1	6.33675070735161	0.00051678059	PE	NA	118953.553494606	118953.553494606
HDAC10	Histone deacetylase 10	Q969S8	6.27520458929987	0.0010000729	DM|RE	NA	373734.402561036	373734.402561036
SDAD1	Protein SDA1 homolog	Q9NVU7	6.24619393029372	0.00036844346	PE	NA	93732.7142113269	93732.7142113269
HDLBP	Vigilin	Q00341	6.21707799726829	0.0005420032	PE	NA	83665.8149214667	83665.8149214667
CDC42	Cell division control protein 42 homolog	P60953	6.18938255936607	0.00017626828	PE	NA	1323965.74835237	1323965.74835237
CACNA2D1	Voltage-dependent calcium channel subunit alpha-2/delta-1	P54289	6.18339527760656	1.1512647e-05	PE	NA	125749.697723197	125749.697723197
GPRC5A	Retinoic acid-induced protein 3	Q8NFJ5	6.1331347465928	0.00032751329	PE	NA	66786.8265114602	66786.8265114602
MARCKSL1	MARCKS-related protein	P49006	6.09218868700704	4.6115324e-06	PE	NA	339638.747266733	339638.747266733
PGRMC1	Membrane-associated progesterone receptor component 1	O00264	6.06144822071141	0.00028000388	PE	NA	107617.344240263	107617.344240263
HSP90AB2P	Putative heat shock protein HSP 90-beta 2	Q58FF8	6.03184289638945	2.7451673e-05	PE	NA	91642.9907813073	91642.9907813073
NRAS	GTPase NRas	P01111	5.9945548107926	0.003093069	PE	NA	84070.8988838987	84070.8988838987
GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	P04406	5.96014142037009	2.5217963e-05	PE	NA	95518.8888166167	95518.8888166167
LDHA	L-lactate dehydrogenase A chain	P00338	5.95702134745368	0.00073704281	PE|RE	NA	138121.110841182	138121.110841182
SERINC1	Serine incorporator 1	Q9NRX5	5.9493940068842	0.0017800898	DM	NA	82604.4327078309	82604.4327078309
EPB41L2	Band 4.1-like protein 2	O43491	5.93063412641003	7.7270925e-05	PE	NA	83998.6620676412	83998.6620676412
TMEM43	Transmembrane protein 43	Q9BTV4	5.92867058124637	8.7525032e-06	PE	NA	89652.3578192893	89652.3578192893
HSP90AA1	Heat shock protein HSP 90-alpha	P07900	5.9017708522897	2.0818647e-06	PE	NA	87507.1641691564	87507.1641691564
ASPH	Aspartyl/asparaginyl beta-hydroxylase	Q12797	5.87890854228305	0.00021615163	PE	NA	87812.0347900226	87812.0347900226
GLUD1	Glutamate dehydrogenase 1, mitochondrial	P00367	5.84173870426552	0.00038157139	PE	NA	96635.9485635673	96635.9485635673
HSPE1	10 kDa heat shock protein, mitochondrial	P61604	5.82306506270217	0.0040193726	PE	NA	239190.655507716	239190.655507716
MARCKS	Myristoylated alanine-rich C-kinase substrate	P29966	5.81230586203446	0.0015530882	PE	NA	75587.759082405	75587.759082405
PPIA	Peptidyl-prolyl cis-trans isomerase A	P62937	5.79647165960986	0.00060909003	PE	NA	105595.669410432	105595.669410432
SLC9A3R2	Na(+)/H(+) exchange regulatory cofactor NHE-RF2	Q15599	5.78621050025718	0.0068658544	PE	NA	92322.0066538252	92322.0066538252
KTN1	Kinectin	Q86UP2	5.75730985640659	9.4086019e-05	PE	NA	78057.689989187	78057.689989187
GPR56	G-protein coupled receptor 56	Q9Y653	5.74886768423881	0.00010397781	PE	NA	81538.4900118542	81538.4900118542
DSP	Desmoplakin	P15924	5.71535909975581	0.00056290958	DM|RE	NA	151289.501343913	151289.501343913
RAB8B	Ras-related protein Rab-8B	Q92930	5.64641685063834	0.022045106	DM	NA	94727.7046337368	94727.7046337368
TNFRSF10A	Tumor necrosis factor receptor superfamily member 10A	O00220	5.60627555800062	0.00019147887	PE	NA	213805.832959117	213805.832959117
ARFGAP1	ADP-ribosylation factor GTPase-activating protein 1	Q8N6T3	5.58966946775419	1.4146538e-05	DM	NA	280946.470864711	280946.470864711
CTNND1	Catenin delta-1	O60716	5.57834458535694	9.7619311e-05	PE	NA	87307.4073165014	87307.4073165014
SPTAN1	Spectrin alpha chain, non-erythrocytic 1	Q13813	5.56313776215322	0.00032238904	PE	NA	201765.433640983	201765.433640983
GALNT2	Polypeptide N-acetylgalactosaminyltransferase 2	Q10471	5.51420309069469	0.0015063224	DM|PE	NA	84789.274876198	84789.274876198
GNAI1	Guanine nucleotide-binding protein G(i) subunit alpha-1	P63096	5.4445536027337	0.001052544	PE	NA	83195.7465159836	83195.7465159836
RHOA	Transforming protein RhoA	P61586	5.41559969874498	0.005072739	PE	NA	76200.6384610927	76200.6384610927
FAM129B	Niban-like protein 1	Q96TA1	5.3757483973378	0.011420135	PE	NA	274661.371081665	274661.371081665
ATP2B1	Plasma membrane calcium-transporting ATPase 1	P20020	5.2787505920462	0.00072839501	PE	NA	84369.6495115171	84369.6495115171
TMEM87A	Transmembrane protein 87A	Q8NBN3	5.27710435882898	1.1842611e-05	DM	NA	83840.0775390972	83840.0775390972
CYB5R3	NADH-cytochrome b5 reductase 3	P00387	5.25696554248911	0.00026419738	PE	NA	103384.57588814	103384.57588814
IQGAP1	Ras GTPase-activating-like protein IQGAP1	P46940	5.222821115301	0.0081889927	PE	NA	463116.000521621	463116.000521621
PGRMC2	Membrane-associated progesterone receptor component 2	O15173	5.21465110473718	4.9904661e-06	PE	NA	106163.42230353	106163.42230353
PON2	Serum paraoxonase/arylesterase 2	Q15165	5.20690667444515	0.013014858	PE	NA	68703.0130311479	68703.0130311479
SERPINH1	Serpin H1	P50454	5.20561974576006	6.0059127e-09	PE	NA	79204.7281891066	79204.7281891066
