




Analysis Type:	PANTHER Overrepresentation Test (Released 20230705)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-05-10
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	bg.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	bg.txt - REFLIST (2980)	Client Text Box Input (509)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
tube development (GO:0035295)	180	53	30.74	+	1.72	5.12E-04	4.02E-02
regulation of transport (GO:0051049)	337	98	57.56	+	1.70	2.00E-06	9.22E-04
regulation of cellular localization (GO:0060341)	257	74	43.90	+	1.69	7.60E-05	1.13E-02
neurogenesis (GO:0022008)	242	69	41.33	+	1.67	1.44E-04	1.76E-02
cellular response to endogenous stimulus (GO:0071495)	244	69	41.68	+	1.66	2.03E-04	2.16E-02
tissue development (GO:0009888)	321	90	54.83	+	1.64	2.02E-05	4.44E-03
response to nitrogen compound (GO:1901698)	236	66	40.31	+	1.64	4.33E-04	3.56E-02
response to endogenous stimulus (GO:0009719)	304	85	51.92	+	1.64	4.82E-05	8.55E-03
positive regulation of multicellular organismal process (GO:0051240)	295	79	50.39	+	1.57	3.37E-04	2.97E-02
small molecule metabolic process (GO:0044281)	330	88	56.37	+	1.56	1.53E-04	1.84E-02
cytoskeleton organization (GO:0007010)	313	83	53.46	+	1.55	2.67E-04	2.57E-02
regulation of biological quality (GO:0065008)	605	160	103.34	+	1.55	6.08E-08	6.15E-05
response to oxygen-containing compound (GO:1901700)	333	88	56.88	+	1.55	1.66E-04	1.84E-02
response to external stimulus (GO:0009605)	424	112	72.42	+	1.55	1.89E-05	4.54E-03
biological process involved in interspecies interaction between organisms (GO:0044419)	322	84	55.00	+	1.53	4.14E-04	3.43E-02
cellular response to chemical stimulus (GO:0070887)	497	128	84.89	+	1.51	8.45E-06	2.51E-03
cell development (GO:0048468)	383	98	65.42	+	1.50	2.14E-04	2.25E-02
regulation of apoptotic process (GO:0042981)	350	89	59.78	+	1.49	5.00E-04	3.98E-02
immune system process (GO:0002376)	356	90	60.81	+	1.48	5.47E-04	4.19E-02
regulation of programmed cell death (GO:0043067)	360	91	61.49	+	1.48	5.72E-04	4.32E-02
cellular response to organic substance (GO:0071310)	372	94	63.54	+	1.48	4.07E-04	3.46E-02
regulation of multicellular organismal process (GO:0051239)	510	127	87.11	+	1.46	4.03E-05	7.69E-03
response to chemical (GO:0042221)	699	170	119.39	+	1.42	3.00E-06	1.12E-03
response to organic substance (GO:0010033)	563	136	96.16	+	1.41	7.39E-05	1.12E-02
establishment of localization (GO:0051234)	844	202	144.16	+	1.40	4.58E-07	2.44E-04
transport (GO:0006810)	795	189	135.79	+	1.39	2.53E-06	1.02E-03
localization (GO:0051179)	974	230	166.36	+	1.38	7.98E-08	6.73E-05
regulation of signaling (GO:0023051)	614	143	104.87	+	1.36	2.38E-04	2.39E-02
response to stress (GO:0006950)	704	161	120.25	+	1.34	1.55E-04	1.83E-02
cell differentiation (GO:0030154)	658	150	112.39	+	1.33	4.11E-04	3.44E-02
cell communication (GO:0007154)	731	165	124.86	+	1.32	2.30E-04	2.32E-02
cellular response to stimulus (GO:0051716)	1048	230	179.00	+	1.28	1.81E-05	4.59E-03
multicellular organismal process (GO:0032501)	1069	234	182.59	+	1.28	1.93E-05	4.53E-03
response to stimulus (GO:0050896)	1318	288	225.12	+	1.28	3.13E-07	1.86E-04
cellular metabolic process (GO:0044237)	1408	198	240.49	-	.82	5.23E-04	4.07E-02
nitrogen compound metabolic process (GO:0006807)	1497	210	255.70	-	.82	1.81E-04	1.99E-02
regulation of gene expression (GO:0010468)	1020	131	174.22	-	.75	1.56E-04	1.79E-02
macromolecule metabolic process (GO:0043170)	1369	171	233.83	-	.73	1.73E-07	1.09E-04
regulation of cellular biosynthetic process (GO:0031326)	845	104	144.33	-	.72	1.59E-04	1.81E-02
regulation of biosynthetic process (GO:0009889)	862	105	147.23	-	.71	8.90E-05	1.29E-02
cellular nitrogen compound metabolic process (GO:0034641)	1020	124	174.22	-	.71	8.49E-06	2.46E-03
organic cyclic compound metabolic process (GO:1901360)	908	104	155.09	-	.67	2.42E-06	1.02E-03
regulation of macromolecule biosynthetic process (GO:0010556)	821	94	140.23	-	.67	1.21E-05	3.23E-03
cellular aromatic compound metabolic process (GO:0006725)	873	98	149.11	-	.66	1.78E-06	8.57E-04
regulation of nucleobase-containing compound metabolic process (GO:0019219)	857	96	146.38	-	.66	2.05E-06	9.01E-04
heterocycle metabolic process (GO:0046483)	872	97	148.94	-	.65	1.32E-06	6.68E-04
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	522	57	89.16	-	.64	2.94E-04	2.76E-02
nucleobase-containing compound metabolic process (GO:0006139)	848	91	144.84	-	.63	3.35E-07	1.88E-04
regulation of DNA-templated transcription (GO:0006355)	638	67	108.97	-	.61	9.39E-06	2.64E-03
regulation of RNA biosynthetic process (GO:2001141)	642	67	109.66	-	.61	7.30E-06	2.24E-03
gene expression (GO:0010467)	630	65	107.61	-	.60	6.22E-06	1.97E-03
regulation of RNA metabolic process (GO:0051252)	776	77	132.54	-	.58	3.97E-08	4.46E-05
negative regulation of biosynthetic process (GO:0009890)	368	36	62.86	-	.57	4.04E-04	3.46E-02
positive regulation of DNA-templated transcription (GO:0045893)	392	37	66.96	-	.55	1.02E-04	1.37E-02
positive regulation of RNA biosynthetic process (GO:1902680)	395	37	67.47	-	.55	7.88E-05	1.16E-02
negative regulation of cellular biosynthetic process (GO:0031327)	358	33	61.15	-	.54	1.36E-04	1.74E-02
regulation of transcription by RNA polymerase II (GO:0006357)	456	42	77.89	-	.54	1.06E-05	2.89E-03
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	335	30	57.22	-	.52	1.56E-04	1.81E-02
negative regulation of RNA metabolic process (GO:0051253)	306	27	52.27	-	.52	2.26E-04	2.31E-02
positive regulation of RNA metabolic process (GO:0051254)	458	40	78.23	-	.51	2.73E-06	1.06E-03
negative regulation of macromolecule biosynthetic process (GO:0010558)	349	29	59.61	-	.49	2.00E-05	4.49E-03
nucleic acid metabolic process (GO:0090304)	731	57	124.86	-	.46	1.72E-12	5.80E-09
RNA biosynthetic process (GO:0032774)	193	14	32.97	-	.42	5.11E-04	4.04E-02
ribonucleoprotein complex biogenesis (GO:0022613)	238	17	40.65	-	.42	6.76E-05	1.05E-02
chromatin remodeling (GO:0006338)	186	13	31.77	-	.41	4.08E-04	3.44E-02
chromatin organization (GO:0006325)	215	15	36.72	-	.41	1.44E-04	1.77E-02
protein-DNA complex organization (GO:0071824)	246	17	42.02	-	.40	3.69E-05	7.18E-03
DNA-templated transcription (GO:0006351)	190	13	32.45	-	.40	3.01E-04	2.74E-02
RNA metabolic process (GO:0016070)	584	37	99.75	-	.37	3.08E-13	3.12E-09
mRNA metabolic process (GO:0016071)	281	12	48.00	-	.25	2.31E-09	3.90E-06
regulation of mRNA metabolic process (GO:1903311)	151	6	25.79	-	.23	1.35E-05	3.51E-03
RNA processing (GO:0006396)	356	14	60.81	-	.23	1.71E-12	8.66E-09
RNA splicing (GO:0008380)	187	6	31.94	-	.19	1.47E-07	9.88E-05
mRNA processing (GO:0006397)	217	6	37.06	-	.16	1.76E-09	3.56E-06
regulation of RNA stability (GO:0043487)	78	2	13.32	-	.15	5.91E-04	4.40E-02
regulation of mRNA catabolic process (GO:0061013)	83	2	14.18	-	.14	2.66E-04	2.59E-02
mRNA splicing, via spliceosome (GO:0000398)	138	2	23.57	-	.08	1.14E-07	8.88E-05
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	138	2	23.57	-	.08	1.14E-07	8.25E-05
RNA splicing, via transesterification reactions (GO:0000375)	141	2	24.08	-	.08	7.57E-08	6.96E-05
